DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R
'001902,-1,-1,-1,64,40,85,43,29,71,.,.,.,61,29,85,46,17,63,53,25,80,66,33,89,56,21,82,.,.,.,-1,-1,-1,57,25,81,39,12,71,21,5,44,62,29,85,62,29,85,59,29,83,65,26,96
'001903,44,13,78,52,24,79,100,86,100,-1,-1,-1,56,27,84,26,7,54,43,18,77,61,30,87,56,29,85,-1,-1,-1,29,7,71,52,24,81,27,8,69,24,10,48,59,27,86,59,29,85,51,22,81,54,28,87
'001904,35,15,80,42,21,83,40,20,50,.,.,.,53,25,81,31,8,66,42,18,75,57,25,85,50,23,80,43,29,100,26,7,74,50,24,78,24,8,61,26,16,45,58,27,83,56,26,83,47,20,78,27,20,70
'001906,33,0,72,35,12,76,.,.,.,.,.,.,52,22,86,29,14,77,42,15,82,56,26,88,37,13,77,.,.,.,33,0,72,47,17,84,18,1,68,18,7,58,58,25,90,52,22,86,52,21,89,-1,-1,-1
'001907,31,13,66,43,20,72,74,56,82,.,.,.,42,18,72,29,9,63,36,14,67,44,19,74,41,17,73,-1,-1,-1,24,9,61,40,17,70,25,7,60,21,6,41,54,27,79,42,17,73,40,20,69,22,8,64
'001908,15,3,51,25,7,59,50,30,100,.,.,.,36,14,67,24,6,56,32,12,63,38,14,72,33,13,65,10,10,40,8,3,37,35,13,62,20,5,52,14,5,30,43,18,72,38,14,69,32,12,61,24,15,66
'001909,25,25,75,83,35,100,25,25,75,.,.,.,55,22,89,56,17,89,47,17,86,54,24,92,65,33,92,.,.,.,25,25,75,56,20,87,31,5,79,11,0,64,54,20,89,51,22,88,64,22,93,62,31,92
'002901,27,10,59,56,25,88,65,41,88,-1,-1,-1,43,19,74,22,7,48,30,11,63,44,19,76,38,15,70,48,19,75,15,4,47,42,18,72,23,6,57,17,8,39,53,27,81,44,19,74,40,16,73,40,13,69
'003801,28,10,68,52,24,78,75,75,88,.,.,.,56,28,86,44,20,79,45,19,81,59,30,88,43,19,80,.,.,.,19,2,56,53,26,83,31,7,72,17,5,51,66,35,91,55,27,85,58,31,89,55,39,88
'003902,41,17,79,54,26,81,77,49,100,.,.,.,60,31,86,33,11,69,47,21,80,62,33,88,53,26,83,36,12,70,22,9,66,58,29,85,37,12,75,29,12,55,66,36,89,62,33,88,55,27,83,59,30,91
'003903,36,14,71,38,18,71,90,58,97,-1,-1,-1,44,20,74,32,13,63,38,15,70,48,22,77,43,17,76,73,20,93,23,7,60,41,19,71,27,9,63,31,16,51,60,34,83,45,21,75,41,19,71,40,18,73
'003904,9,4,52,47,13,71,25,25,88,.,.,.,49,20,78,30,8,70,42,15,72,53,23,81,41,16,71,37,21,79,9,5,52,45,17,75,27,7,62,22,6,46,50,21,79,50,20,78,46,18,76,54,22,78
'003905,35,13,69,28,6,74,91,64,100,.,.,.,44,17,77,35,10,68,39,14,73,45,16,78,40,13,74,-1,-1,-1,26,8,64,43,18,75,30,8,67,23,9,45,56,26,84,45,16,77,42,19,74,30,8,76
'003906,.,.,.,57,21,64,.,.,.,.,.,.,38,15,73,-1,-1,-1,33,13,69,40,18,76,41,14,73,.,.,.,.,.,.,36,13,71,17,3,56,8,2,36,38,15,74,39,16,73,35,14,74,7,0,86
'003907,26,7,63,54,24,81,.,.,.,.,.,.,51,22,79,32,8,58,43,17,74,52,22,82,43,20,75,-1,-1,-1,13,4,46,50,21,76,27,8,59,20,6,38,54,23,81,52,22,80,46,20,75,48,15,85
'004901,22,8,54,48,23,75,61,34,91,80,20,100,43,19,72,35,13,71,36,14,67,44,19,74,37,14,67,28,17,56,15,5,47,42,19,71,25,7,57,17,4,35,48,22,75,45,19,73,41,18,70,39,15,71
'005901,64,29,93,67,46,100,-1,-1,-1,.,.,.,64,34,89,50,0,50,54,24,85,65,37,91,46,18,75,44,22,67,33,17,83,64,30,88,29,10,75,18,11,50,67,36,92,69,38,90,55,24,88,80,40,100
'005902,71,14,100,35,26,65,.,.,.,.,.,.,62,30,87,-1,-1,-1,44,14,70,65,30,87,50,15,88,92,46,100,-1,-1,-1,59,30,86,40,10,76,15,4,39,63,31,87,61,29,87,64,32,86,58,30,82
'005904,47,16,82,-1,-1,-1,.,.,.,.,.,.,64,33,90,.,.,.,55,25,87,64,31,93,54,18,86,56,22,78,8,0,50,65,36,87,29,3,69,23,2,48,68,39,92,63,33,89,78,36,98,63,31,100
'006902,21,14,64,50,22,83,.,.,.,.,.,.,56,28,85,-1,-1,-1,46,21,80,57,30,84,36,16,73,89,33,100,0,0,50,55,25,85,31,6,71,22,6,51,57,29,86,58,30,85,50,22,83,18,9,73
'007901,32,6,61,.,.,.,50,17,67,.,.,.,40,13,75,.,.,.,38,12,72,41,12,79,37,11,73,-1,-1,-1,25,5,49,38,13,70,29,8,66,32,12,53,75,40,90,41,13,76,33,12,67,31,0,54
'007902,40,8,75,69,8,85,38,0,63,.,.,.,46,21,77,40,16,72,35,13,69,48,23,82,39,15,73,29,0,57,28,2,69,44,19,74,23,5,60,17,6,35,58,31,85,48,22,78,40,17,75,40,17,74
'007904,25,6,55,33,33,67,40,40,100,11,0,67,31,11,65,55,9,100,26,8,60,31,11,67,28,9,62,27,0,64,22,3,52,30,10,62,15,2,50,10,3,23,42,18,75,32,11,66,28,9,61,21,6,60
'007905,33,11,63,52,28,82,37,30,85,-1,-1,-1,37,15,67,27,15,38,29,10,59,39,15,68,32,12,63,60,7,93,24,5,54,36,14,65,19,4,50,23,8,36,50,22,76,39,15,67,34,13,65,35,16,63
'007906,28,8,66,24,6,59,-1,-1,-1,.,.,.,36,11,69,9,0,55,31,9,65,40,13,74,35,11,68,.,.,.,23,6,61,32,10,64,20,4,56,22,6,42,43,16,76,38,12,71,30,8,61,52,26,87
'008901,28,8,64,49,15,69,88,63,88,-1,-1,-1,49,22,79,17,5,52,35,13,70,54,25,82,39,13,72,33,33,67,13,2,47,44,19,76,21,4,60,18,6,41,59,29,88,49,22,80,47,20,77,37,17,72
'008902,23,7,61,56,32,82,53,34,94,.,.,.,45,19,75,29,8,58,32,11,66,46,20,77,37,14,70,70,40,90,13,3,48,43,19,73,22,5,59,20,6,40,58,28,84,46,20,76,38,17,70,29,17,61
'008903,32,12,69,67,30,90,100,100,100,.,.,.,50,23,80,34,16,65,43,17,75,53,23,82,43,17,76,.,.,.,25,7,65,47,22,79,23,6,62,18,9,41,63,31,89,54,25,83,40,16,73,37,5,68
'009901,24,9,57,11,0,44,79,50,100,.,.,.,33,12,66,30,20,50,30,10,64,33,12,68,31,10,63,.,.,.,12,3,46,33,12,64,19,5,53,19,6,39,48,21,80,34,13,67,29,8,60,23,11,66
'010901,29,7,86,60,20,80,.,.,.,.,.,.,43,16,78,40,20,60,36,10,76,53,22,83,39,17,72,.,.,.,22,11,89,33,9,73,22,6,67,25,15,49,44,15,80,37,13,80,49,18,76,39,6,67
'010902,27,10,66,50,22,79,69,54,85,0,0,0,42,18,73,20,0,40,33,12,64,46,21,77,35,13,67,13,0,75,22,9,56,39,15,69,16,5,48,19,7,36,46,21,76,43,18,74,41,17,70,42,22,78
'011901,24,8,55,45,21,73,72,43,90,50,8,83,37,15,66,28,10,58,30,11,60,40,16,70,31,12,61,40,20,66,15,5,44,34,14,62,21,6,52,13,3,29,53,25,78,38,16,67,34,13,63,34,16,62
'011902,21,6,55,26,9,71,10,0,62,0,0,30,31,10,62,22,5,52,26,7,58,33,11,66,28,8,60,33,0,75,17,5,50,28,9,58,19,4,53,16,3,32,49,21,76,32,11,63,27,8,59,26,7,61
'011904,29,11,57,37,12,72,84,47,89,.,.,.,45,19,75,24,6,60,36,14,67,48,20,78,38,15,69,0,0,20,19,7,47,42,18,73,24,6,62,23,8,48,52,23,82,46,19,77,41,18,71,63,35,75
'011905,25,6,68,75,25,100,.,.,.,.,.,.,47,21,79,-1,-1,-1,38,14,75,54,24,85,33,9,74,.,.,.,18,4,63,41,19,74,26,7,65,19,7,52,62,34,84,42,16,77,54,27,82,47,31,81
'012901,75,50,88,27,12,86,-1,-1,-1,.,.,.,59,28,88,20,0,50,51,23,84,65,33,91,55,27,86,.,.,.,-1,-1,-1,54,24,85,36,12,73,24,8,63,63,30,89,59,28,89,58,27,85,50,19,86
'013801,11,0,56,80,20,100,47,6,82,.,.,.,45,17,85,58,25,75,43,15,84,44,14,90,40,14,84,.,.,.,11,0,56,48,21,79,29,6,75,26,17,37,63,33,89,46,17,85,41,17,85,47,20,87
'013901,32,13,64,57,33,76,26,21,63,-1,-1,-1,36,13,68,46,16,71,32,11,65,37,14,71,33,12,66,.,.,.,22,11,52,34,12,64,18,5,53,26,8,43,48,19,75,34,12,67,39,16,71,21,6,54
'013902,-1,-1,-1,22,0,78,.,.,.,.,.,.,46,21,85,.,.,.,35,11,82,54,28,92,41,16,83,.,.,.,-1,-1,-1,40,16,80,17,3,69,38,24,59,67,44,95,50,28,85,37,8,85,46,23,77
'013903,20,0,100,40,0,60,.,.,.,.,.,.,35,11,76,33,0,50,31,9,73,36,10,75,31,9,73,-1,-1,-1,20,0,100,35,11,76,24,4,66,23,8,63,46,15,84,36,12,73,35,8,80,0,0,40
'013905,42,19,71,-1,-1,-1,80,40,100,-1,-1,-1,50,20,82,47,32,79,41,15,77,51,19,85,44,16,78,53,20,87,29,14,57,49,21,79,27,9,68,21,11,56,65,30,91,51,20,84,46,21,76,42,18,85
'014801,4,0,29,13,0,34,0,0,57,-1,-1,-1,10,1,41,6,1,33,11,1,42,11,1,45,9,1,41,-1,-1,-1,3,0,28,10,1,38,10,1,40,4,0,20,19,2,48,9,0,41,10,1,41,19,4,46
'014803,15,9,46,42,19,75,29,18,59,13,0,63,37,15,70,25,12,57,34,14,68,37,15,71,28,9,67,60,60,60,15,10,44,36,15,69,24,8,57,24,12,43,45,18,76,42,20,74,34,12,68,24,6,64
'014804,63,20,88,79,42,97,83,52,96,-1,-1,-1,65,36,90,56,33,93,38,17,73,66,37,91,58,25,87,80,40,100,61,19,90,64,34,88,32,10,68,27,13,58,66,38,89,71,39,93,61,33,87,59,30,92
'014901,35,12,72,39,17,73,75,61,100,42,0,67,54,24,83,34,9,72,44,15,77,57,25,85,45,16,78,52,12,82,31,12,71,51,23,82,32,10,66,21,4,48,59,28,86,58,27,86,47,19,77,50,28,83
'014902,9,0,50,56,0,67,.,.,.,.,.,.,31,10,68,35,14,65,28,8,65,34,9,72,24,6,63,-1,-1,-1,5,0,37,29,11,65,13,2,50,26,5,50,49,20,86,30,9,67,34,13,72,33,17,67
'014903,28,10,64,55,29,80,80,55,97,54,19,92,53,26,80,37,15,68,38,15,70,55,27,82,42,17,74,60,32,82,16,5,53,51,25,78,25,8,61,27,11,51,60,32,85,54,27,81,50,24,78,48,22,78
'014905,43,17,74,44,8,76,.,.,.,.,.,.,62,28,88,24,4,80,57,24,87,65,29,91,57,26,88,-1,-1,-1,12,4,50,59,28,86,32,8,71,11,3,42,66,31,89,64,31,89,48,18,84,47,27,80
'014906,35,15,69,51,23,79,67,38,89,47,20,77,44,18,74,35,12,68,37,14,69,46,19,77,44,18,75,42,15,75,28,10,63,42,17,71,26,7,61,23,8,45,55,26,81,45,19,76,41,17,71,38,16,75
'014907,35,16,67,82,55,91,100,14,100,.,.,.,54,24,81,28,8,64,44,16,74,58,27,84,43,15,75,67,17,100,8,0,38,51,22,79,37,10,70,15,6,44,59,29,84,55,25,83,50,21,76,57,14,86
'014908,22,7,63,55,19,88,82,53,100,13,0,38,56,25,84,58,19,81,33,11,71,59,27,87,38,13,74,-1,-1,-1,11,2,48,52,23,81,18,4,58,11,5,34,61,28,86,56,26,84,54,23,83,39,18,74
'014909,30,11,63,45,19,77,74,46,91,76,39,94,38,15,69,26,9,58,33,12,64,40,15,72,36,14,68,56,22,80,23,8,57,36,15,65,24,7,58,20,8,36,52,24,79,39,15,69,36,14,67,27,11,58
'014910,40,8,71,51,15,72,100,29,100,.,.,.,53,21,81,37,9,57,45,15,75,55,22,83,47,14,79,44,11,100,25,4,62,51,20,80,28,6,64,26,8,51,56,25,84,55,22,83,49,19,77,39,14,84
'015801,0,0,33,33,0,33,.,.,.,.,.,.,18,4,51,-1,-1,-1,16,3,51,21,6,56,17,4,50,.,.,.,0,0,38,14,2,46,14,2,49,9,0,34,63,38,100,0,0,0,18,4,53,0,0,0
'015802,46,27,86,32,18,64,.,.,.,.,.,.,34,15,68,27,10,61,34,15,68,33,16,68,43,21,78,11,0,33,46,27,86,35,14,69,34,15,68,14,5,46,10,0,90,37,21,70,32,12,68,18,3,65
'015805,23,8,52,33,17,33,.,.,.,.,.,.,34,11,62,42,17,83,31,10,60,39,12,65,33,11,61,.,.,.,18,7,46,29,10,58,19,5,49,30,8,47,63,24,68,32,10,62,37,13,62,23,14,68
'015806,28,9,58,54,31,100,-1,-1,-1,-1,-1,-1,32,12,66,20,6,54,31,11,64,31,9,69,37,14,71,.,.,.,21,6,51,33,15,63,22,7,58,16,5,39,8,0,38,37,14,73,24,8,55,33,11,56
'015807,21,7,46,32,18,53,.,.,.,-1,-1,-1,25,8,55,19,3,55,23,6,53,28,9,58,24,8,54,-1,-1,-1,16,6,40,22,7,53,15,3,46,11,1,32,36,14,65,23,7,56,26,9,55,26,19,52
'015808,-1,-1,-1,44,22,78,-1,-1,-1,-1,-1,-1,42,17,74,7,0,57,29,13,63,43,18,77,39,14,73,.,.,.,-1,-1,-1,41,16,71,13,3,53,21,8,50,50,24,78,55,19,80,38,17,72,38,21,76
'015809,29,9,68,.,.,.,.,.,.,.,.,.,27,8,65,40,10,90,28,8,65,28,9,68,27,8,64,.,.,.,21,8,62,27,7,61,16,4,54,21,10,46,17,0,100,27,5,66,27,11,64,25,0,67
'015814,6,0,31,.,.,.,.,.,.,.,.,.,21,2,57,29,0,76,19,1,56,25,2,64,21,3,55,.,.,.,6,0,31,17,3,49,19,2,55,0,0,17,-1,-1,-1,.,.,.,21,2,57,0,0,33
'015815,35,13,70,0,0,50,.,.,.,-1,-1,-1,42,18,74,34,17,74,38,16,72,40,15,77,41,17,74,100,38,100,31,11,68,43,21,72,33,12,70,34,23,58,62,36,85,44,15,79,41,19,73,43,0,71
'015822,28,10,61,45,20,80,60,38,79,.,.,.,31,12,64,25,9,60,27,10,60,33,12,67,30,11,63,0,0,42,21,7,54,29,12,61,17,4,50,10,3,30,41,19,72,36,15,69,26,10,60,25,11,59
'015825,22,6,56,58,8,83,.,.,.,.,.,.,31,10,68,38,6,66,29,9,66,35,10,73,29,9,67,.,.,.,15,1,49,26,10,61,12,1,53,5,2,16,45,30,80,29,10,66,32,10,69,-1,-1,-1
'015827,37,15,71,73,46,89,70,47,94,21,7,43,51,26,80,38,20,69,47,23,78,52,27,82,50,24,81,33,0,78,30,12,65,50,26,78,36,13,69,16,6,48,61,31,87,64,35,88,46,23,77,40,14,66
'015828,38,15,73,42,26,73,64,40,87,36,0,45,46,20,76,39,18,70,43,18,75,48,21,80,46,19,77,67,0,100,29,10,67,44,19,74,32,11,67,21,8,39,52,25,78,50,23,78,43,18,75,32,17,66
'015830,23,6,57,45,17,79,53,20,80,62,15,77,31,12,66,33,13,70,28,10,62,34,13,69,29,11,64,56,33,100,21,5,55,29,10,62,16,3,52,20,6,36,46,21,74,32,11,66,31,12,65,15,3,36
'015831,48,22,82,59,35,89,73,48,96,.,.,.,51,24,81,56,25,87,48,21,79,53,26,82,45,20,77,-1,-1,-1,42,17,77,49,23,80,34,11,71,21,6,52,64,33,90,52,26,82,50,23,81,45,20,79
'015833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,18,82,-1,-1,-1,51,13,78,59,20,89,51,18,82,-1,-1,-1,-1,-1,-1,41,13,71,35,8,74,35,20,70,64,21,71,-1,-1,-1,51,18,82,-1,-1,-1
'015834,70,43,92,78,59,97,88,64,98,91,27,100,80,55,95,58,29,86,63,33,86,79,55,95,69,42,91,78,53,94,63,37,89,80,54,95,58,31,86,46,24,67,82,57,97,97,72,100,75,50,94,77,50,94
'015835,44,23,80,72,43,93,79,52,95,.,.,.,65,35,90,46,21,85,50,22,82,66,35,90,54,26,84,-1,-1,-1,26,8,71,65,36,89,39,14,79,28,11,61,71,38,93,70,39,92,58,30,86,52,29,85
'015836,41,5,55,94,61,100,89,36,100,.,.,.,68,35,93,-1,-1,-1,40,21,75,65,34,93,63,32,92,.,.,.,28,0,44,71,37,92,43,11,84,27,8,61,71,38,91,71,39,95,62,27,87,.,.,.
'015838,40,8,67,83,33,100,-1,-1,-1,.,.,.,40,18,75,-1,-1,-1,39,15,74,41,17,79,38,16,74,.,.,.,39,6,65,40,19,73,26,5,66,3,0,32,85,46,96,.,.,.,40,18,75,13,0,40
'015901,34,12,64,51,24,82,71,46,89,80,47,100,61,32,85,49,26,76,35,13,68,65,34,88,49,21,77,56,19,100,31,10,61,58,30,83,34,14,69,25,9,47,71,40,92,63,34,86,56,26,83,43,12,76
'015904,37,14,69,56,16,88,78,56,89,.,.,.,40,15,72,28,10,56,38,14,70,43,16,76,40,15,72,30,30,60,29,10,63,38,15,68,29,8,64,19,8,38,49,22,74,42,17,74,33,11,64,28,8,67
'015905,28,10,61,26,11,59,47,26,69,23,0,62,29,10,60,29,10,60,28,9,59,30,10,64,28,10,60,-1,-1,-1,24,8,57,27,10,57,21,6,53,19,6,31,27,8,62,30,10,63,23,8,53,21,7,56
'015906,67,11,100,70,32,93,86,60,98,80,44,100,71,38,94,59,27,91,61,29,90,75,39,95,69,35,91,100,40,100,-1,-1,-1,68,38,92,45,13,83,40,17,73,78,47,96,75,40,95,69,37,93,47,16,97
'015907,29,11,61,45,20,73,49,25,69,47,20,87,32,12,63,27,10,57,30,11,61,35,13,67,32,12,63,18,4,49,24,9,56,30,11,59,22,6,55,19,8,35,51,25,78,33,12,64,31,11,61,26,10,62
'015908,29,10,65,23,0,54,92,50,92,0,0,67,33,11,66,33,10,63,32,11,64,35,12,69,33,11,66,50,0,67,24,9,59,31,11,63,23,7,57,18,8,32,40,18,70,35,12,68,27,9,59,26,7,61
'015909,37,15,69,43,9,80,20,10,70,50,25,92,38,15,70,40,10,77,36,13,68,40,15,73,37,14,69,-1,-1,-1,28,11,62,36,14,67,24,7,58,20,7,39,45,19,72,39,15,70,35,12,69,39,14,73
'015910,42,18,72,64,37,86,77,51,92,53,23,72,56,29,81,37,15,67,40,16,71,58,30,83,50,23,78,52,29,77,34,13,67,53,27,79,32,10,65,25,8,47,71,42,90,58,30,83,50,25,76,50,24,79
'015911,23,8,55,40,19,76,77,41,91,50,40,80,31,11,63,27,8,59,26,8,58,34,13,68,29,10,62,10,3,52,19,6,52,29,10,59,19,5,52,12,2,28,41,17,71,33,12,65,27,9,59,26,10,64
'015912,35,14,68,58,29,82,68,39,91,13,13,75,39,16,70,41,19,70,37,14,68,41,16,73,39,15,70,42,21,63,28,11,61,38,15,67,25,8,59,19,6,38,51,24,76,41,16,72,35,14,66,41,18,75
'015913,21,14,68,68,36,94,68,44,84,57,29,81,63,31,89,56,17,83,55,23,83,67,33,92,61,30,89,.,.,.,10,10,55,58,29,86,28,9,69,35,12,63,65,35,90,63,33,90,62,31,88,61,24,94
'015914,43,18,80,64,38,89,73,44,96,62,30,95,62,31,89,56,22,88,53,25,83,63,31,91,61,30,87,59,23,91,34,14,74,62,32,87,35,10,76,36,18,68,65,34,90,66,34,91,61,30,88,76,42,97
'015915,41,17,74,65,36,89,71,44,89,58,27,83,52,24,80,45,18,76,41,16,73,55,25,83,48,20,78,47,23,77,31,12,66,50,23,78,31,9,67,25,9,49,66,37,88,54,25,82,47,21,77,49,22,82
'015916,37,14,69,51,23,79,61,36,84,47,15,82,43,18,74,35,13,67,38,14,70,46,19,77,42,17,74,42,11,79,30,11,63,40,16,71,31,9,65,20,7,42,55,26,82,46,19,76,38,14,70,36,14,69
'015917,31,11,62,48,19,81,28,4,64,.,.,.,30,10,61,30,11,60,27,9,58,32,10,64,29,10,60,.,.,.,25,9,56,28,10,57,20,6,51,16,4,29,40,16,66,31,11,61,27,10,59,27,14,59
'016901,36,21,70,31,6,60,100,50,100,.,.,.,56,26,82,.,.,.,49,22,79,61,29,89,42,20,73,.,.,.,17,5,59,52,23,77,30,8,65,16,6,40,62,29,87,55,25,81,58,29,87,67,11,100
'016902,28,5,61,56,31,88,-1,-1,-1,.,.,.,55,24,85,31,6,50,42,15,76,59,25,87,42,14,79,.,.,.,26,5,60,52,23,83,30,8,69,24,7,60,66,31,90,53,23,84,60,26,87,58,32,98
'017901,29,14,86,57,29,86,.,.,.,.,.,.,65,30,93,-1,-1,-1,43,19,80,71,31,97,41,9,84,.,.,.,-1,-1,-1,60,29,89,37,8,80,27,16,59,70,33,94,66,30,93,64,30,91,79,21,100
'018901,23,8,58,36,16,68,59,45,82,.,.,.,46,21,77,33,7,63,31,11,67,52,25,80,33,12,68,33,22,89,16,11,37,42,18,73,21,8,58,19,14,49,56,28,83,48,23,79,40,17,69,25,13,53
'018902,22,9,49,17,13,65,100,80,100,.,.,.,40,17,77,43,19,76,34,11,71,45,19,81,30,8,67,.,.,.,16,8,45,36,15,73,23,6,63,14,4,41,47,21,82,40,17,78,42,17,74,23,8,62
'018903,32,4,56,6,0,18,.,.,.,.,.,.,36,10,59,.,.,.,38,10,58,25,8,44,36,11,64,.,.,.,16,0,42,43,11,68,18,2,36,11,0,21,48,11,63,33,7,54,52,24,79,33,0,83
'018904,25,6,61,29,15,71,-1,-1,-1,.,.,.,48,18,80,38,23,69,40,13,74,50,19,83,41,14,72,.,.,.,15,4,51,47,17,76,28,6,65,26,6,52,53,20,84,48,19,79,49,17,81,25,0,67
'018905,32,11,61,-1,-1,-1,.,.,.,.,.,.,35,10,67,-1,-1,-1,30,7,64,39,11,72,33,9,64,.,.,.,25,6,57,32,10,64,25,6,57,3,0,17,37,12,70,38,11,69,26,8,61,40,20,80
'018906,-1,-1,-1,33,17,83,.,.,.,.,.,.,41,16,77,.,.,.,32,12,67,41,16,76,35,13,70,.,.,.,.,.,.,42,15,78,22,12,60,7,0,30,43,16,78,47,19,82,24,5,59,20,10,60
'018907,0,0,71,-1,-1,-1,.,.,.,.,.,.,27,8,65,.,.,.,25,7,62,28,9,68,32,7,71,.,.,.,0,0,71,26,6,61,11,1,51,4,2,37,27,8,65,28,8,64,26,9,65,0,0,40
'018908,24,8,68,50,50,50,.,.,.,.,.,.,32,15,63,-1,-1,-1,30,16,61,37,18,66,27,15,64,.,.,.,14,5,62,28,11,61,14,5,48,0,0,24,35,13,64,32,14,65,32,19,55,-1,-1,-1
'019901,17,2,56,31,11,60,.,.,.,.,.,.,36,14,68,17,4,55,27,8,62,39,14,71,24,7,63,17,0,67,10,2,51,34,13,65,12,3,47,8,3,27,46,19,74,35,13,69,38,14,65,13,5,37
'019902,38,13,77,46,21,88,.,.,.,.,.,.,52,22,83,34,8,65,48,17,79,54,22,87,49,21,85,-1,-1,-1,18,8,66,50,21,80,26,5,67,19,5,46,57,24,86,52,22,84,53,22,82,50,26,89
'019903,0,0,40,21,14,57,-1,-1,-1,-1,-1,-1,44,16,78,39,5,73,39,11,74,50,17,84,37,14,60,.,.,.,0,0,40,40,15,74,18,2,57,22,7,35,46,17,80,45,15,77,41,17,78,43,21,64
'019905,21,12,50,36,10,69,88,63,100,14,14,71,39,14,72,25,7,62,34,11,69,41,15,76,41,19,71,-1,-1,-1,16,10,45,37,14,69,21,5,59,27,8,44,44,17,77,40,15,72,36,12,73,33,15,82
'019906,31,6,67,39,22,69,45,5,73,-1,-1,-1,55,23,85,27,14,48,46,17,80,58,23,88,38,15,77,20,20,80,27,0,58,53,23,81,30,6,68,18,7,44,58,24,87,57,25,84,52,20,87,41,12,65
'019907,35,13,72,53,27,84,78,47,92,-1,-1,-1,45,20,75,27,7,61,34,12,69,47,21,77,44,17,78,71,50,97,26,10,65,42,19,72,24,8,59,20,5,36,64,34,89,45,20,75,42,18,74,30,8,74
'019908,17,8,51,38,15,72,0,0,86,67,17,100,31,10,63,23,7,57,27,9,60,33,11,67,33,15,65,48,19,71,11,7,42,29,10,59,17,3,51,18,6,33,42,14,71,33,11,66,25,7,55,22,2,61
'019909,18,9,82,46,21,68,18,9,82,.,.,.,44,19,78,-1,-1,-1,38,14,74,49,24,80,47,20,83,50,0,100,18,9,82,40,15,76,17,4,58,11,4,41,45,19,78,48,21,77,39,17,80,41,17,83
'019910,.,.,.,44,11,67,.,.,.,.,.,.,68,31,93,.,.,.,62,26,92,65,23,91,78,22,100,-1,-1,-1,.,.,.,70,36,94,55,14,80,42,16,68,69,34,94,72,33,96,54,27,83,60,60,100
'019911,.,.,.,83,67,94,100,100,100,.,.,.,76,45,94,-1,-1,-1,65,29,90,78,47,97,57,36,88,100,83,100,.,.,.,73,43,90,48,17,78,22,7,47,76,44,94,79,48,95,65,36,91,76,59,94
'019912,52,25,87,48,19,85,83,51,96,100,17,100,61,30,88,38,14,74,46,19,79,63,29,90,57,24,90,56,11,83,40,16,83,59,30,87,35,11,75,30,14,59,67,34,91,61,29,89,61,30,86,70,35,93
'019913,0,0,57,0,0,50,.,.,.,.,.,.,22,4,74,.,.,.,23,5,73,24,5,74,24,2,71,20,0,60,0,0,57,20,4,73,8,0,60,15,0,65,23,6,78,21,4,75,24,4,71,0,0,60
'019914,.,.,.,80,0,100,.,.,.,.,.,.,33,8,65,-1,-1,-1,36,8,64,32,7,69,29,0,71,.,.,.,.,.,.,35,8,61,13,2,46,23,3,43,33,9,65,29,7,65,38,8,66,50,17,83
'020901,42,19,73,60,34,86,81,55,95,61,21,97,50,24,79,46,19,78,38,14,71,53,25,82,41,16,73,41,14,68,29,11,63,48,22,76,29,9,64,22,7,43,56,28,82,52,26,80,45,19,76,46,21,78
'020902,31,11,68,51,25,76,61,31,85,-1,-1,-1,46,19,77,34,10,70,39,14,73,50,20,81,42,17,74,42,13,77,25,8,63,42,17,74,27,7,64,20,6,41,53,23,83,47,19,78,40,16,75,44,21,87
'020904,26,6,65,56,29,80,60,40,90,.,.,.,52,22,82,33,17,67,47,20,79,56,23,87,49,19,84,-1,-1,-1,16,6,55,48,20,78,21,6,64,15,6,45,52,22,82,53,21,83,48,23,80,26,4,61
'020905,32,13,66,47,22,74,80,43,92,50,17,100,45,19,76,31,9,64,37,14,70,48,19,79,39,14,72,40,23,68,20,7,54,43,19,72,24,6,60,25,9,43,58,28,83,46,19,76,43,18,73,40,19,74
'020906,33,15,65,41,19,76,20,0,100,.,.,.,43,17,75,31,9,63,34,11,68,45,18,77,41,14,76,.,.,.,22,5,60,41,16,73,24,6,59,17,7,32,47,20,77,45,18,76,38,14,70,43,17,76
'020907,21,9,52,39,15,73,71,57,71,.,.,.,38,15,67,22,6,52,28,10,59,41,16,71,31,12,61,59,24,82,18,7,49,34,14,63,17,4,48,17,5,35,43,18,73,39,16,68,34,13,63,24,7,44
